Testes,Tamanhos,Tempos,Pacotes,Reenvios
0,100,15.701205968856812,4095973,0
1,100,15.702195167541504,4095973,0
2,100,17.21751379966736,4095973,0
3,100,15.488649606704712,4095973,0
4,100,15.488712549209595,4095973,0
5,100,15.506744146347046,4095973,0
6,100,15.563997507095337,4095973,0
7,100,15.552164554595947,4095973,0
8,100,15.51793885231018,4095973,0
9,100,15.52293848991394,4095973,0
0,500,4.771906137466431,819196,0
1,500,4.752185821533203,819196,0
2,500,4.753793954849243,819196,0
3,500,4.760676860809326,819196,0
4,500,4.74602484703064,819196,0
5,500,4.78772497177124,819196,0
6,500,4.768585205078125,819196,0
7,500,4.759012937545776,819196,0
8,500,4.774017095565796,819196,0
9,500,4.71122407913208,819196,0
0,1000,6.834809064865112,409599,0
1,1000,7.498744010925293,409599,0
2,1000,7.116926908493042,409599,0
3,1000,7.323587656021118,409599,0
4,1000,7.0773255825042725,409599,0
5,1000,8.564354181289673,409599,0
6,1000,8.167242050170898,409599,0
7,1000,4.379950523376465,409599,0
8,1000,3.59610652923584,409599,0
9,1000,9.095508098602295,409599,0
